Serial Number,Number Series,Pre,Post,Device Type ,Device Model,Product Number,Product description,Start Date,Lease Maturity Date,Location
3CM13713V2,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM137142M,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM137142R,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM13713V5,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM137142P,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZQ,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BXH,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZ8,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BYG,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BXR,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZF,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BYS,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZL,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380C05,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZN,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BYY,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZX,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BZ9,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380C02,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM1380BYV,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Malta
3CM13719RB,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Burlington
2TK134Z4FT,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK134Z3L6,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK134Z2NX,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK134Z4FF,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK133ZXMM,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK133ZXKV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK135X813,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133ZSDJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK133ZRNQ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK127Z3JM,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK137Z4Q4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK137Z55N,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK137Z3XV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK137Z3ZP,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK137Z3ZC,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK137Z3YN,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK137Z52S,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK132ZXFW,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZX1G,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZWCT,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZWG5,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZZGJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZZGR,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZW7Y,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZZDZ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZWZV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZZG9,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132ZVQV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK134Z1TC,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK132X5CJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X5ZJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X55V,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X56M,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X61T,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X502,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X60Z,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X576,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X5X0,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X6FH,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X5TV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X666,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X5GW,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X6H0,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X59N,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK132X65D,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133X53V,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133XB8V,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X8BK,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133XBCZ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK133X5VX,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X5BP,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X53Y,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X5C2,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X9Q8,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X8PT,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133ZKH8,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK204ZDL4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK118ZBG4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZBYY,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZB05,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZBYH,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJYL,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJWC,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJV1,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJYJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJXX,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJYC,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJY7,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJZQ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZJW4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZSVD,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZSX2,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZC9Q,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZSWW,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZBX5,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118Z9Y8,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZBM1,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZSWX,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZC6P,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118Z9YY,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK118ZC9D,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK139ZFTJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGHJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133ZVH4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGWG,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZBM8,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGWM,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGWS,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGGD,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGHC,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGX5,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGRN,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZD76,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGLF,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGLH,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZFT2,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGLL,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGKW,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGK8,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGWL,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZBNS,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGL1,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGTJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133ZSBG,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133ZVF0,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGS4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGLT,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGL5,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGWR,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGTP,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK139ZGWV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133X5F5,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X5C1,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X5D0,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X957,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK133X534,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Malta
2TK133X50Q,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X8D4,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X67M,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X5D5,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X53P,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Hopewell Junction
2TK133X4KT,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133X8G7,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133X8TP,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Santa Clara
2TK133ZKNS,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK133ZKNW,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
2TK133ZV8K,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,2/1/2022,1/31/2025,Burlington
3CM13717X6,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717ST,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717VK,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717W3,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717W0,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717TF,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717VS,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717DH,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717W9,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717V1,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717VW,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717SS,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
3CM13717TG,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
5CG1356SYY,,,,Serialized Accessories,Monitor,1A7E5AA,MNTR HP P24 G4 FHD,2/1/2022,1/31/2025,Santa Clara
5CG1119F56,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,2/1/2022,1/31/2025,Burlington
5CG1119F90,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,2/1/2022,1/31/2025,Burlington
GFUS001035TL,001035,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001036TL,001036,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001037TL,001037,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001038TL,001038,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001039TL,001039,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001040TL,001040,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001041TL,001041,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001042TL,001042,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001043TL,001043,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001044TL,001044,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001045TL,001045,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001046TL,001046,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Burlington
GFUS001047TL,001047,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001048TL,001048,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001049TL,001049,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001050TL,001050,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001051TL,001051,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001052TL,001052,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001053TL,001053,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001054TL,001054,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001055TL,001055,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001056TL,001056,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001057TL,001057,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001058TL,001058,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001059TL,001059,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001060TL,001060,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001061TL,001061,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001062TL,001062,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001063TL,001063,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001064TL,001064,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
GFUS001065TL,001065,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,2/1/2022,1/31/2025,Hopewell Junction
